date,video_id,views,likes,comments
2023-08-15,SJVGzrUFPE8,2489,75,1
2023-08-15,JiInGY_kls8,2896,76,1
2023-08-15,anB8Ui3pSAU,171943,6627,467
2023-08-15,Kl3ZksLIFhc,2232,82,2
2023-08-15,n9gkNw_mDlg,8056,170,4
2023-08-15,kTi6h2N6UX4,4569,108,6
2023-08-15,XMIV_131PyQ,10270,227,8
2023-08-15,AVD1B2eAbpo,8617,175,4
2023-08-15,KBWWxmV9KKQ,11249,236,4
2023-08-15,GJf8oCT4U18,183941,7049,591
