channel_id,channel_name,uploads_playlist_id,subscriber_count
UCp8E_zueld5babVONj-kk0A,Strictly Commerce,UUp8E_zueld5babVONj-kk0A,4950
UCzFTOobT56A1sDDvcr8K7ag,Vraj Rajan,UUzFTOobT56A1sDDvcr8K7ag,29
UCDw9wecFv4dLCSgs_ebkh4g,AI Coach,UUDw9wecFv4dLCSgs_ebkh4g,15
UCeBn8UwTmpg2_MpsZD7zSJQ,Financial Fiend,UUeBn8UwTmpg2_MpsZD7zSJQ,29
UC6jqne2Ad4RgCU1cGO-pZwQ,Davinder Parjapat,UU6jqne2Ad4RgCU1cGO-pZwQ,60
UCHCDuF0UKphyKI2T6N9BPAA,mone,UUHCDuF0UKphyKI2T6N9BPAA,3300
UCzl5QSGRErFThS_pF_xa7Ew,Thinking Blueprint,UUzl5QSGRErFThS_pF_xa7Ew,170
UC_4Rd8s8XSFSmSIfuZY7iHA,Yapflor,UU_4Rd8s8XSFSmSIfuZY7iHA,1020
UCQGA_thTc9ppp9nwPL_4LmA,Sonuji Technical,UUQGA_thTc9ppp9nwPL_4LmA,71700
UCWU3LF7r7PlEVx71NWc3UtQ,AI technician,UUWU3LF7r7PlEVx71NWc3UtQ,1
UCI-U1q7Q62LYlzVIsltsmuQ,Neil Shap,UUI-U1q7Q62LYlzVIsltsmuQ,105
UCA7RxVq2pMGYp_-Qo4S2dEw,Technical Yogi,UUA7RxVq2pMGYp_-Qo4S2dEw,1810000
UCu74jA9rQp4mw0Sq7jr86bQ,Tech RjX,UUu74jA9rQp4mw0Sq7jr86bQ,130
UCFW2LQlAAx-2sYTUotG_cOA,Artificial Arsenal ,UUFW2LQlAAx-2sYTUotG_cOA,602
UCRtyI8XV43ytgUlQzm0waYA,Mehran Shahmiri,UURtyI8XV43ytgUlQzm0waYA,2
UC-tTP9EzQsJnWof6ZoNw9hA,LiamplaysCH,UU-tTP9EzQsJnWof6ZoNw9hA,5
UCxsk7hqE_CwZWGEJEkGanbA,KreekCraft,UUxsk7hqE_CwZWGEJEkGanbA,8150000
UC2WcnvVV543XYHtk1pGUv6Q,Flying Start Online - Hindi,UU2WcnvVV543XYHtk1pGUv6Q,89300
UCZQDF0x18Xe6RZayvod99zA,Him-eesh Madaan,UUZQDF0x18Xe6RZayvod99zA,6640000
UCsGQIc6ZplxjtZGqMXCu0uA,Tina Bhavya Vlogs,UUsGQIc6ZplxjtZGqMXCu0uA,252
UCKECwEhM2UngjgFCItD2G1w,The Infamous Joel,UUKECwEhM2UngjgFCItD2G1w,5260
UCIHHw-ybvpG0U2hPxzmPptg,Baloch Editz,UUIHHw-ybvpG0U2hPxzmPptg,6620
UCsm6EOn4Qdbk6lchMolxS7A,Marketing Island,UUsm6EOn4Qdbk6lchMolxS7A,12500
UCypAnUfaF2P-4oi6I9avkRw,Ritwik Ahlawat,UUypAnUfaF2P-4oi6I9avkRw,698
UCQ-_XZTLUTuU6DE6Wp-hPnA,Taveras Media,UUQ-_XZTLUTuU6DE6Wp-hPnA,826
UCoxN-7bQBCVmppEyuVcfUHw,BusiRizz,UUoxN-7bQBCVmppEyuVcfUHw,55
UChNNBVw4a7pbbzI9sAgHRWg,Tan Choudhury,UUhNNBVw4a7pbbzI9sAgHRWg,261000
UCrg-yR8QoADTfR_EaDwDfbg,Spreadshop,UUrg-yR8QoADTfR_EaDwDfbg,6260
UCJYlBBZRh5nYl8fEb_XdoLA,The Beat Goes On,UUJYlBBZRh5nYl8fEb_XdoLA,106000
UCU6fG0zf_6pAn5QzWzLDypw,Fixed Point,UUU6fG0zf_6pAn5QzWzLDypw,25200
UCi9X7f3IEQcKVHUKLlGikcQ,Azad Chaiwala 2.0,UUi9X7f3IEQcKVHUKLlGikcQ,152000
UCzo5pRXx2_D4HQOHZlNLHVg,jddesign_co,UUzo5pRXx2_D4HQOHZlNLHVg,1120
UChwOnPKwQhdXy30YxyHtiDA,Stefan van de Vlasakker,UUhwOnPKwQhdXy30YxyHtiDA,1130
UCw24xC73pus0Kh2S8Q4qstw,The Inspiration Hub,UUw24xC73pus0Kh2S8Q4qstw,46
UCcEP4zM75PXo8QFZwLMXaxA,Kordo Group Web3 Design Agency,UUcEP4zM75PXo8QFZwLMXaxA,777
UCnas_UOKzH2wQZuu0vdamog,MOS It BD,UUnas_UOKzH2wQZuu0vdamog,39900
UCVoVneLJ0pJZ5O1irMkzwyw,Konnection Business,UUVoVneLJ0pJZ5O1irMkzwyw,68500
UC5qIRSyM0DbeSq8n_dUyiug,"Let People, People",UU5qIRSyM0DbeSq8n_dUyiug,14
UC3kw2YP_a5gdMlyGa-Dummg,Advisor Abhishek,UU3kw2YP_a5gdMlyGa-Dummg,1720
UCcQsyw5agi4vaGxKWJI0EPw,LAMZ,UUcQsyw5agi4vaGxKWJI0EPw,344
UCJHWySfDcQGZ1n6KowV4u4w,Reel life vs Real life Vlogs,UUJHWySfDcQGZ1n6KowV4u4w,88
UCkWUa-MhAYnMYDSUEhaayQg,Lelwa Gayi,UUkWUa-MhAYnMYDSUEhaayQg,32700
UCWnYAfQGsejbj8FHPM48oPg,Technical Umarzaib,UUWnYAfQGsejbj8FHPM48oPg,15500
UC0MRwVmlRkcqH5AVzovxE-A,Learn And Earn With Farhan,UU0MRwVmlRkcqH5AVzovxE-A,12000
UCOU1zSR-8dpyhxTx54DbdAg,The Flipping Team,UUOU1zSR-8dpyhxTx54DbdAg,1920
